"O3.Mean","Date.Local"
0.017083,2014-01-23
0.019444,2014-01-24
0.021,2014-01-25
0.023917,2014-01-26
0.0195,2014-01-27
0.014125,2014-01-28
0.01325,2014-01-29
0.011417,2014-01-30
0.004278,2014-01-31
0.006375,2014-02-01
0.008458,2014-02-02
0.012875,2014-02-03
0.013083,2014-02-04
0.015333,2014-02-05
0.014167,2014-02-06
0.018722,2014-02-07
0.014542,2014-02-08
0.016542,2014-02-09
0.026958,2014-02-10
0.020625,2014-02-11
0.0195,2014-02-12
0.023167,2014-02-13
0.02,2014-02-14
0.021875,2014-02-15
0.031958,2014-02-16
0.018833,2014-02-17
0.010417,2014-02-18
0.011667,2014-02-19
0.016556,2014-02-20
0.00825,2014-02-21
0.018417,2014-02-22
0.023958,2014-02-23
0.032625,2014-02-24
0.022042,2014-02-25
0.022111,2014-02-26
0.026417,2014-02-27
0.01875,2014-02-28
0.016458,2014-03-01
0.017833,2014-03-02
0.025417,2014-03-03
0.010583,2014-03-04
0.017708,2014-03-05
0.026792,2014-03-06
0.018889,2014-03-07
0.030042,2014-03-08
0.037583,2014-03-09
0.017667,2014-03-10
0.017875,2014-03-11
0.02525,2014-03-12
0.030125,2014-03-13
0.019667,2014-03-14
0.033417,2014-03-15
0.0247163899748711,2014-03-16
0.021917,2014-03-17
0.022438,2014-03-18
0.0202,2014-03-19
0.026833,2014-03-20
0.028792,2014-03-21
0.033292,2014-03-22
0.031292,2014-03-23
0.025042,2014-03-24
0.026625,2014-03-25
0.030625,2014-03-26
0.028778,2014-03-27
0.017375,2014-03-28
0.019167,2014-03-29
0.02775,2014-03-30
0.032458,2014-03-31
0.016429,2014-04-01
0.003929,2014-04-02
0.020083,2014-04-03
0.029667,2014-04-04
0.030208,2014-04-05
0.028625,2014-04-06
0.026792,2014-04-07
0.026583,2014-04-08
0.030944,2014-04-09
0.034333,2014-04-10
0.028292,2014-04-11
0.033583,2014-04-12
0.033667,2014-04-13
0.029417,2014-04-14
0.028438,2014-04-15
0.033458,2014-04-16
0.03275,2014-04-17
0.027958,2014-04-18
0.036208,2014-04-19
0.035042,2014-04-20
0.025333,2014-04-21
0.025958,2014-04-22
0.031125,2014-04-23
0.038,2014-04-24
0.033042,2014-04-25
0.032,2014-04-26
0.029375,2014-04-27
0.0305,2014-04-28
0.031,2014-04-29
0.025167,2014-04-30
0.021542,2014-05-01
0.030167,2014-05-02
0.029125,2014-05-03
0.035542,2014-05-04
0.030667,2014-05-05
0.03,2014-05-06
0.028875,2014-05-07
0.024208,2014-05-08
0.028292,2014-05-09
0.029625,2014-05-10
0.035083,2014-05-11
0.022208,2014-05-12
0.0218,2014-05-13
0.020667,2014-05-14
0.024042,2014-05-15
0.022917,2014-05-16
0.036958,2014-05-17
0.039333,2014-05-18
0.038792,2014-05-19
0.041792,2014-05-20
0.037375,2014-05-21
0.035417,2014-05-22
0.03075,2014-05-23
0.022292,2014-05-24
0.025417,2014-05-25
0.04325,2014-05-26
0.038208,2014-05-27
0.020292,2014-05-28
0.028833,2014-05-29
0.031222,2014-05-30
0.03225,2014-05-31
0.036458,2014-06-01
0.030875,2014-06-02
0.032417,2014-06-03
0.040375,2014-06-04
0.030667,2014-06-05
0.013944,2014-06-06
0.029375,2014-06-07
0.0375,2014-06-08
0.02375,2014-06-09
0.020708,2014-06-10
0.028083,2014-06-11
0.020458,2014-06-12
0.017591,2014-06-13
0.025542,2014-06-14
0.020083,2014-06-15
0.029083,2014-06-16
0.043292,2014-06-17
0.036625,2014-06-18
0.026417,2014-06-19
0.033583,2014-06-20
0.035208,2014-06-21
0.0395,2014-06-22
0.033542,2014-06-23
0.032375,2014-06-24
0.024375,2014-06-25
0.03075,2014-06-26
0.034458,2014-06-27
0.040667,2014-06-28
0.033125,2014-06-29
0.028542,2014-06-30
0.03025,2014-07-01
0.02825,2014-07-02
0.032667,2014-07-03
0.027625,2014-07-04
0.028625,2014-07-05
0.041958,2014-07-06
0.05325,2014-07-07
0.045958,2014-07-08
0.035417,2014-07-09
0.040625,2014-07-10
0.03625,2014-07-11
0.039125,2014-07-12
0.036417,2014-07-13
0.028882,2014-07-14
0.031583,2014-07-15
0.031625,2014-07-16
0.032042,2014-07-17
0.036958,2014-07-18
0.031625,2014-07-19
0.030417,2014-07-20
0.044333,2014-07-21
0.044167,2014-07-22
0.032375,2014-07-23
0.028375,2014-07-24
0.037333,2014-07-25
0.040542,2014-07-26
0.041667,2014-07-27
0.039375,2014-07-28
0.012588,2014-07-29
0.024667,2014-07-30
0.039583,2014-07-31
0.038125,2014-08-01
0.040792,2014-08-02
0.0355,2014-08-03
0.02825,2014-08-04
0.015857,2014-08-05
0.0279608288850681,2014-08-06
0.025211,2014-08-07
0.020542,2014-08-08
0.029583,2014-08-09
0.030583,2014-08-10
0.028167,2014-08-11
0.027824,2014-08-12
0.026625,2014-08-13
0.031,2014-08-14
0.021042,2014-08-15
0.038458,2014-08-16
0.030667,2014-08-17
0.020708,2014-08-18
0.0302,2014-08-19
0.038917,2014-08-20
0.031556,2014-08-21
0.023375,2014-08-22
0.0165,2014-08-23
0.0267131136862714,2014-08-24
0.0268032436565683,2014-08-25
0.0255715490408784,2014-08-26
0.0248617652723761,2014-08-27
0.0222,2014-08-28
0.02425,2014-08-29
0.030833,2014-08-30
0.030292,2014-08-31
0.026583,2014-09-01
0.036417,2014-09-02
0.027722,2014-09-03
0.04125,2014-09-04
0.033708,2014-09-05
0.03475,2014-09-06
0.027583,2014-09-07
0.023167,2014-09-08
0.023167,2014-09-09
0.02925,2014-09-10
0.030042,2014-09-11
0.026625,2014-09-12
0.021958,2014-09-13
0.021833,2014-09-14
0.026083,2014-09-15
0.018208,2014-09-16
0.023292,2014-09-17
0.0255,2014-09-18
0.025958,2014-09-19
0.0295,2014-09-20
0.018167,2014-09-21
0.022292,2014-09-22
0.011458,2014-09-23
0.021667,2014-09-24
0.019042,2014-09-25
0.020625,2014-09-26
0.024458,2014-09-27
0.028542,2014-09-28
0.008294,2014-09-29
0.014208,2014-09-30
0.017,2014-10-01
0.014417,2014-10-02
0.02475,2014-10-03
0.026042,2014-10-04
0.014708,2014-10-05
0.033111,2014-10-06
0.037208,2014-10-07
0.03325,2014-10-08
0.027625,2014-10-09
0.011583,2014-10-10
0.015292,2014-10-11
0.017042,2014-10-12
0.020958,2014-10-13
0.026333,2014-10-14
0.028875,2014-10-15
0.022417,2014-10-16
0.022583,2014-10-17
0.017417,2014-10-18
0.021708,2014-10-19
0.019042,2014-10-20
0.020208,2014-10-21
0.022125,2014-10-22
0.011542,2014-10-23
0.014042,2014-10-24
0.031708,2014-10-25
0.026583,2014-10-26
0.014042,2014-10-27
0.019375,2014-10-28
0.014333,2014-10-29
0.009583,2014-10-30
0.015,2014-10-31
0.017333,2014-11-01
0.027125,2014-11-02
0.019792,2014-11-03
0.018375,2014-11-04
0.009667,2014-11-05
0.006125,2014-11-06
0.018292,2014-11-07
0.019917,2014-11-08
0.009542,2014-11-09
0.006042,2014-11-10
0.019583,2014-11-11
0.01325,2014-11-12
0.008944,2014-11-13
0.020792,2014-11-14
0.01925,2014-11-15
0.015375,2014-11-16
0.006792,2014-11-17
0.022708,2014-11-18
0.01975,2014-11-19
0.020083,2014-11-20
0.018625,2014-11-21
0.016208,2014-11-22
0.016458,2014-11-23
0.024625,2014-11-24
0.010056,2014-11-25
0.01225,2014-11-26
0.0155,2014-11-27
0.023375,2014-11-28
0.016625,2014-11-29
0.018125,2014-11-30
0.013333,2014-12-01
0.020792,2014-12-02
0.008542,2014-12-03
0.015458,2014-12-04
0.010542,2014-12-05
0.00675,2014-12-06
0.029,2014-12-07
0.024,2014-12-08
0.023063,2014-12-09
0.0148,2014-12-10
0.014167,2014-12-11
0.020625,2014-12-12
0.019708,2014-12-13
0.008625,2014-12-14
0.003708,2014-12-15
0.00325,2014-12-16
0.005958,2014-12-17
0.013292,2014-12-18
0.016167,2014-12-19
0.015083,2014-12-20
0.007625,2014-12-21
0.013125,2014-12-22
0.015583,2014-12-23
0.007875,2014-12-24
0.018,2014-12-25
0.008667,2014-12-26
0.005,2014-12-27
0.009292,2014-12-28
0.017278,2014-12-29
0.016542,2014-12-30
0.018684,2014-12-31
0.022292,2015-01-01
0.014208,2015-01-02
0.014458,2015-01-03
0.008625,2015-01-04
0.023688,2015-01-05
0.010375,2015-01-06
0.021958,2015-01-07
0.0184,2015-01-08
0.021,2015-01-09
0.016917,2015-01-10
0.011167,2015-01-11
0.003375,2015-01-12
0.018292,2015-01-13
0.017292,2015-01-14
0.006542,2015-01-15
0.018833,2015-01-16
0.01675,2015-01-17
0.000833,2015-01-18
0.014792,2015-01-19
0.0165,2015-01-20
0.013167,2015-01-21
0.011125,2015-01-22
0.009792,2015-01-23
0.010417,2015-01-24
0.020875,2015-01-25
0.026958,2015-01-26
0.02525,2015-01-27
0.016458,2015-01-28
0.014708,2015-01-29
0.020917,2015-01-30
0.027292,2015-01-31
0.013167,2015-02-01
0.020292,2015-02-02
0.014375,2015-02-03
0.010333,2015-02-04
0.020667,2015-02-05
0.012458,2015-02-06
0.006292,2015-02-07
0.014542,2015-02-08
0.024542,2015-02-09
0.02475,2015-02-10
0.020375,2015-02-11
0.014917,2015-02-12
0.019667,2015-02-13
0.014,2015-02-14
0.026375,2015-02-15
0.020125,2015-02-16
0.015208,2015-02-17
0.016833,2015-02-18
0.02725,2015-02-19
0.015708,2015-02-20
0.016042,2015-02-21
0.00975,2015-02-22
0.02475,2015-02-23
0.014792,2015-02-24
0.018375,2015-02-25
0.021,2015-02-26
0.02325,2015-02-27
0.016333,2015-02-28
0.011292,2015-03-01
0.025167,2015-03-02
0.022167,2015-03-03
0.005375,2015-03-04
0.02075,2015-03-05
0.0155,2015-03-06
0.018167,2015-03-07
0.018708,2015-03-08
0.018958,2015-03-09
0.010417,2015-03-10
0.03,2015-03-11
0.031792,2015-03-12
0.02825,2015-03-13
0.018875,2015-03-14
0.029875,2015-03-15
0.01325,2015-03-16
0.023833,2015-03-17
0.030458,2015-03-18
0.02675,2015-03-19
0.026708,2015-03-20
0.022417,2015-03-21
0.032417,2015-03-22
0.0275,2015-03-23
0.015083,2015-03-24
0.011611,2015-03-25
0.012042,2015-03-26
0.015792,2015-03-27
0.027292,2015-03-28
0.031917,2015-03-29
0.028167,2015-03-30
0.022542,2015-03-31
0.024667,2015-04-01
0.027292,2015-04-02
0.014083,2015-04-03
0.030167,2015-04-04
0.027625,2015-04-05
0.022625,2015-04-06
0.019625,2015-04-07
0.034042,2015-04-08
0.032625,2015-04-09
0.013708,2015-04-10
0.030278,2015-04-11
0.028708,2015-04-12
0.006333,2015-04-13
0.013867,2015-04-14
0.032917,2015-04-15
0.034042,2015-04-16
0.023833,2015-04-17
0.041708,2015-04-18
0.0375,2015-04-19
0.02975,2015-04-20
0.024292,2015-04-21
0.030542,2015-04-22
0.028917,2015-04-23
0.029458,2015-04-24
0.026583,2015-04-25
0.033083,2015-04-26
0.026042,2015-04-27
0.034333,2015-04-28
0.034333,2015-04-29
0.031917,2015-04-30
0.028458,2015-05-01
0.026458,2015-05-02
0.023458,2015-05-03
0.036125,2015-05-04
0.035583,2015-05-05
0.026375,2015-05-06
0.029708,2015-05-07
0.033,2015-05-08
0.0195,2015-05-09
0.012417,2015-05-10
0.009042,2015-05-11
0.0365,2015-05-12
0.02475,2015-05-13
0.038042,2015-05-14
0.038792,2015-05-15
0.024333,2015-05-16
0.032542,2015-05-17
0.033042,2015-05-18
0.022875,2015-05-19
0.024958,2015-05-20
0.026833,2015-05-21
0.039042,2015-05-22
0.037167,2015-05-23
0.042875,2015-05-24
0.045167,2015-05-25
0.034417,2015-05-26
0.019708,2015-05-27
0.0235,2015-05-28
0.026583,2015-05-29
0.0155,2015-05-30
0.017875,2015-05-31
0.016792,2015-06-01
0.013042,2015-06-02
0.021792,2015-06-03
0.026542,2015-06-04
0.018083,2015-06-05
0.024176,2015-06-06
0.032042,2015-06-07
0.034208,2015-06-08
0.036417,2015-06-09
0.038542,2015-06-10
0.055833,2015-06-11
0.041083,2015-06-12
0.042042,2015-06-13
0.046458,2015-06-14
0.029583,2015-06-15
0.019625,2015-06-16
0.028708,2015-06-17
0.028375,2015-06-18
0.030708,2015-06-19
0.030042,2015-06-20
0.031042,2015-06-21
0.042333,2015-06-22
0.03975,2015-06-23
0.028167,2015-06-24
0.028458,2015-06-25
0.03825,2015-06-26
0.029792,2015-06-27
0.025792,2015-06-28
0.02475,2015-06-29
0.034708,2015-06-30
0.045875,2015-07-01
0.020417,2015-07-02
0.0435,2015-07-03
0.038958,2015-07-04
0.03975,2015-07-05
0.033208,2015-07-06
0.031083,2015-07-07
0.022292,2015-07-08
0.027542,2015-07-09
